Date,Dividends_SPY,Dividends_growth_SPY,Dividends_AGG,Dividends_growth_AGG,Dividends_QQQ,Dividends_growth_QQQ,Dividends_VNQ,Dividends_growth_VNQ,Dividends_IWM,Dividends_growth_IWM,Dividends_VIG,Dividends_growth_VIG,Dividends_IEF,Dividends_growth_IEF
2007-03-01,0.0,0.0,0.394,0.2544529262086516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,-11.575562700964623
2007-03-02,0.0,0.0,0.394,0.2544529262086516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,-11.575562700964623
2007-03-05,0.0,0.0,0.394,0.2544529262086516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,-11.575562700964623
2007-03-06,0.0,0.0,0.394,0.2544529262086516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,-11.575562700964623
2007-03-07,0.0,0.0,0.394,0.2544529262086516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,-11.575562700964623
2007-03-08,0.0,0.0,0.394,0.2544529262086516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,-11.575562700964623
2007-03-09,0.0,0.0,0.394,0.2544529262086516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,-11.575562700964623
2007-03-12,0.0,0.0,0.394,0.2544529262086516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,-11.575562700964623
2007-03-13,0.0,0.0,0.394,0.2544529262086516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,-11.575562700964623
2007-03-14,0.0,0.0,0.394,0.2544529262086516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,-11.575562700964623
2007-03-15,0.0,0.0,0.394,0.2544529262086516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,-11.575562700964623
2007-03-16,0.551,-30.51702395964691,0.394,0.2544529262086516,0.027,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,-11.575562700964623
2007-03-19,0.551,-30.51702395964691,0.394,0.2544529262086516,0.027,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,-11.575562700964623
2007-03-20,0.551,-30.51702395964691,0.394,0.2544529262086516,0.027,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,-11.575562700964623
